               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.040237,             0.20031,            0.013303,              0.6028,             0.47388,             0.50104,             0.30321,            0.041752,             0.35296,            0.019103,            0.003367,            0.003367,            0.003367
                  69,            0.040137,             0.19829,            0.013189,             0.59922,             0.47156,             0.50054,              0.3026,            0.041767,             0.35304,            0.019227,            0.003268,            0.003268,            0.003268
                  70,            0.039942,             0.19754,            0.013293,             0.59517,             0.47926,              0.5035,             0.30378,            0.041715,             0.35269,             0.01906,            0.003169,            0.003169,            0.003169
                  71,            0.039943,             0.19819,            0.013168,             0.59442,             0.47779,             0.50266,             0.30296,            0.041733,             0.35349,            0.019132,             0.00307,             0.00307,             0.00307
                  72,            0.039733,             0.19537,            0.013057,              0.5864,             0.48129,             0.50369,             0.30377,            0.041708,             0.35339,            0.019168,            0.002971,            0.002971,            0.002971
                  73,            0.039812,             0.19553,            0.013093,             0.59016,             0.48048,             0.50313,             0.30245,            0.041707,             0.35362,            0.019157,            0.002872,            0.002872,            0.002872
                  74,            0.039764,             0.19798,            0.012927,              0.5819,             0.48561,             0.50301,              0.3037,            0.041677,               0.354,            0.019119,            0.002773,            0.002773,            0.002773
                  75,            0.039672,              0.1973,            0.012993,             0.58075,             0.48779,             0.50325,             0.30277,            0.041708,             0.35434,            0.019201,            0.002674,            0.002674,            0.002674
                  76,            0.039686,             0.19503,            0.012704,             0.60173,             0.47564,             0.50368,             0.30291,            0.041746,              0.3541,            0.019234,            0.002575,            0.002575,            0.002575
                  77,            0.039247,             0.19379,            0.012647,             0.59276,             0.48093,             0.50479,             0.30444,            0.041692,             0.35401,            0.019135,            0.002476,            0.002476,            0.002476
                  78,            0.039341,             0.19459,            0.012813,             0.58521,             0.47974,             0.50023,             0.30215,            0.041729,             0.35457,            0.019279,            0.002377,            0.002377,            0.002377
                  79,            0.039453,             0.19567,            0.012564,             0.58281,             0.48073,             0.50111,             0.30326,            0.041674,             0.35487,            0.019311,            0.002278,            0.002278,            0.002278
                  80,             0.03931,             0.19277,            0.012639,             0.58357,             0.47711,              0.4996,             0.30173,            0.041681,             0.35506,            0.019325,            0.002179,            0.002179,            0.002179
                  81,            0.039291,              0.1936,            0.012619,             0.59046,             0.47699,             0.49961,             0.30166,            0.041718,             0.35606,            0.019336,             0.00208,             0.00208,             0.00208
                  82,            0.039139,              0.1943,            0.012362,             0.59434,             0.47353,             0.49873,             0.30069,             0.04173,             0.35626,            0.019396,            0.001981,            0.001981,            0.001981
                  83,             0.03929,             0.19218,            0.012577,             0.59555,             0.47325,             0.50074,             0.30245,             0.04172,             0.35637,            0.019352,            0.001882,            0.001882,            0.001882
                  84,            0.039125,             0.19215,            0.012429,             0.59818,             0.47561,              0.5022,              0.3038,            0.041722,             0.35661,             0.01932,            0.001783,            0.001783,            0.001783
                  85,            0.039055,             0.19208,            0.012465,             0.59871,             0.47631,             0.50227,             0.30457,            0.041696,             0.35638,            0.019302,            0.001684,            0.001684,            0.001684
                  86,            0.039001,             0.19241,            0.012309,             0.60146,             0.47791,             0.50236,             0.30454,            0.041691,             0.35685,            0.019342,            0.001585,            0.001585,            0.001585
                  87,            0.039095,             0.19393,             0.01223,             0.60564,             0.47297,             0.50259,             0.30405,            0.041706,             0.35739,            0.019344,            0.001486,            0.001486,            0.001486
                  88,            0.039081,             0.19321,             0.01224,             0.59711,             0.47486,             0.50186,             0.30385,             0.04171,             0.35791,              0.0194,            0.001387,            0.001387,            0.001387
                  89,            0.038996,             0.19113,            0.012147,             0.60465,             0.47296,             0.50201,             0.30378,            0.041728,             0.35806,            0.019442,            0.001288,            0.001288,            0.001288
                  90,            0.038746,             0.19012,            0.012032,             0.60569,             0.47233,             0.50181,             0.30394,            0.041719,             0.35824,            0.019478,            0.001189,            0.001189,            0.001189
                  91,            0.039029,             0.19223,            0.012051,             0.60381,             0.47602,             0.50144,             0.30377,            0.041716,             0.35871,            0.019467,             0.00109,             0.00109,             0.00109
                  92,            0.038687,             0.19013,            0.011889,             0.59856,             0.47797,             0.50051,             0.30348,            0.041711,             0.35891,            0.019472,            0.000991,            0.000991,            0.000991
                  93,            0.038806,             0.19158,            0.011987,             0.60003,              0.4757,             0.50016,             0.30277,            0.041721,             0.35921,            0.019511,            0.000892,            0.000892,            0.000892
                  94,            0.038548,             0.19107,            0.011931,             0.59703,             0.47631,             0.50039,             0.30261,            0.041741,             0.35944,            0.019535,            0.000793,            0.000793,            0.000793
                  95,            0.038648,             0.19102,            0.011859,             0.59206,             0.47791,             0.50025,             0.30288,            0.041741,             0.35981,            0.019567,            0.000694,            0.000694,            0.000694
                  96,            0.038394,             0.18841,            0.011716,             0.60521,             0.47463,             0.50058,              0.3029,            0.041744,             0.36012,            0.019591,            0.000595,            0.000595,            0.000595
                  97,            0.038497,             0.18935,            0.011698,             0.60592,             0.47565,              0.5003,             0.30265,            0.041752,             0.36041,            0.019612,            0.000496,            0.000496,            0.000496
                  98,             0.03848,             0.18704,            0.011778,             0.60804,             0.47442,             0.50063,             0.30272,            0.041762,             0.36052,            0.019619,            0.000397,            0.000397,            0.000397
                  99,             0.03853,             0.19012,            0.011746,             0.60157,             0.47492,             0.49992,             0.30243,            0.041774,             0.36079,            0.019644,            0.000298,            0.000298,            0.000298
