               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.031976,              0.1971,            0.014738,             0.55753,             0.47959,             0.48662,             0.28521,            0.033429,             0.33022,            0.019693,            0.003961,            0.003961,            0.003961
                  63,            0.031934,             0.19607,            0.014767,             0.56808,             0.47583,              0.4869,             0.28566,            0.033516,             0.33009,             0.01983,            0.003862,            0.003862,            0.003862
                  64,            0.031859,             0.19561,            0.014646,             0.56363,             0.48039,              0.4886,              0.2871,            0.033456,             0.33034,            0.019748,            0.003763,            0.003763,            0.003763
                  65,            0.031552,             0.19512,            0.014727,             0.56685,             0.47991,              0.4882,             0.28664,            0.033419,             0.33077,            0.019685,            0.003664,            0.003664,            0.003664
                  66,            0.031647,             0.19433,            0.014448,             0.57043,             0.48216,             0.49137,             0.28999,            0.033336,             0.33003,            0.019559,            0.003565,            0.003565,            0.003565
                  67,             0.03165,             0.19626,            0.014618,             0.57205,             0.48546,             0.49265,             0.28995,            0.033337,             0.33029,            0.019521,            0.003466,            0.003466,            0.003466
                  68,            0.031546,             0.19644,             0.01452,             0.57031,             0.48049,             0.48984,             0.28812,            0.033295,             0.33032,            0.019603,            0.003367,            0.003367,            0.003367
                  69,            0.031501,             0.19462,            0.014392,             0.56607,             0.48356,             0.48996,             0.28746,            0.033305,             0.33052,            0.019641,            0.003268,            0.003268,            0.003268
                  70,            0.031334,             0.19391,            0.014535,             0.55817,             0.48904,              0.4915,              0.2887,            0.033247,             0.32983,            0.019568,            0.003169,            0.003169,            0.003169
                  71,             0.03136,             0.19463,            0.014377,             0.56129,             0.48374,             0.49144,             0.28878,            0.033269,              0.3305,            0.019588,             0.00307,             0.00307,             0.00307
                  72,            0.031154,             0.19186,            0.014265,             0.56479,             0.48867,             0.49145,             0.28974,            0.033285,             0.33061,            0.019667,            0.002971,            0.002971,            0.002971
                  73,            0.031192,             0.19195,            0.014279,              0.5646,             0.48614,             0.49057,             0.28899,            0.033297,             0.33062,            0.019645,            0.002872,            0.002872,            0.002872
                  74,            0.031134,             0.19452,            0.014186,              0.5798,             0.48013,             0.49256,             0.28991,            0.033244,             0.33114,            0.019592,            0.002773,            0.002773,            0.002773
                  75,            0.031131,             0.19398,            0.014212,             0.57389,             0.48536,             0.49279,             0.29086,            0.033195,             0.33065,            0.019611,            0.002674,            0.002674,            0.002674
                  76,            0.031103,             0.19178,            0.013898,             0.57171,             0.49009,             0.49332,             0.29159,            0.033209,             0.33035,            0.019615,            0.002575,            0.002575,            0.002575
                  77,            0.030883,              0.1905,            0.013851,             0.57865,             0.48821,             0.49444,             0.29283,            0.033138,             0.33044,            0.019572,            0.002476,            0.002476,            0.002476
                  78,             0.03085,             0.19147,            0.014003,             0.56801,             0.48825,             0.49272,             0.29102,            0.033161,             0.33078,            0.019632,            0.002377,            0.002377,            0.002377
                  79,            0.030858,             0.19257,            0.013759,             0.57191,             0.48702,              0.4927,             0.29056,            0.033152,             0.33125,            0.019588,            0.002278,            0.002278,            0.002278
                  80,            0.030814,             0.18964,            0.013844,             0.57223,             0.48279,             0.49207,             0.29046,            0.033162,             0.33131,            0.019578,            0.002179,            0.002179,            0.002179
                  81,            0.030733,             0.19062,            0.013726,             0.56943,             0.48522,             0.49223,             0.29146,            0.033156,             0.33151,            0.019593,             0.00208,             0.00208,             0.00208
                  82,            0.030658,             0.19137,             0.01358,             0.57597,             0.48274,             0.49068,             0.29086,            0.033165,             0.33167,            0.019663,            0.001981,            0.001981,            0.001981
                  83,            0.030802,             0.18923,            0.013771,             0.57778,             0.48038,              0.4922,             0.29116,            0.033181,             0.33184,            0.019618,            0.001882,            0.001882,            0.001882
